Description,Price,Link
Low Profile Kailh Switches,29.61,https://www.amazon.com/Mechanical-Keyboard-switches-Chocolate-Blue-70Pcs
1N4148 SOD 123 Diodes,0.51,https://www.lcsc.com/product-detail/C33962554.html
0.1 uF 0805 Capacitors,1.07,https://www.lcsc.com/product-detail/C14663.html
45 SK6812MINI-E LED,3.92,https://www.lcsc.com/product-detail/C5149201.html
50 CPG1350 Sockets,11.9,https://www.amazon.com/Mechkeeb-Kailh-Low-Hot-swappable-Socket/dp/B0BS3JYJJQ?th=1
2 EC11 Rotary Encoders,4,https://www.lcsc.com/product-detail/C470754.html?
0.91 Inch SSD1306 OLED,4.45,https://www.lcsc.com/product-detail/C5248081.html
BS412 PIR Sensor,2.05,https://www.lcsc.com/product-detail/C410378.html
PCF8574AP,1.59,https://www.lcsc.com/product-detail/C398072.html?
2M Ohm Resistor,0.22,https://www.lcsc.com/product-detail/C2907316.html?
2 XIAO nrf52840,24.78,https://www.seeedstudio.com/Seeed-XIAO-BLE-nRF52840-p-5201.html
PCB Order + Stencil,24.63,
DHL Customs,43.98,
Total,148.71,
